code_id,relative_path,filename,extension,bytes,sha2_256,language,role_family,gates_crosswalk,purpose,header_or_docstring,bingo_column,researchbox_id,aspredicted_id,p3_run_id,zip_member_path,upload_note
P3-CODE-001,scripts/p3/break_glass.py,break_glass.py,.py,1121,sha2-256:0d1caa9655d14a64d3ce9b12a14744fc49a90d0ea82a74f3eb770482adb0bacc,python,incident,any,Break-glass / deviation event writer,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/break_glass.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-002,scripts/p3/continue_from_frozen.py,continue_from_frozen.py,.py,5606,sha2-256:baafbb672f1f175980ea867a8104341121dd421e9c3449eb3689072534ad8961,python,train,"R,S,T",Continue from frozen B0 with fresh optimizer,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/continue_from_frozen.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-003,scripts/p3/dummy_b2_test.py,dummy_b2_test.py,.py,1567,sha2-256:aff2ac4d3df22452d25d5d811f1567b85aa29d0b5aebab0c14fba54313a3efb0,python,test,0,Dummy lockbox / unit harness (nonconfirmatory),,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/dummy_b2_test.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-004,scripts/p3/dummy_p0t.py,dummy_p0t.py,.py,1116,sha2-256:8c5d3368f05e02181f4641316669a7d26731435ae961ea2dee04958982a151e2,python,test,0,Dummy lockbox / unit harness (nonconfirmatory),,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/dummy_p0t.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-005,scripts/p3/env.cuda.sh,env.cuda.sh,.sh,1756,sha2-256:d86c7f2709fdcf250a13193671f60f4306a3b74330290f19bbf385813f421575,bash,env,H–W,CUDA pod environment; staging en-clean/b3-clean fallbacks,P3 CUDA-host environment. Source from the repo root on the named NVIDIA host.,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/env.cuda.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-006,scripts/p3/env.sh,env.sh,.sh,1389,sha2-256:20358ca644ac14759d9beea7ebc4635f323f350ac4dbc1d71a74c952c6e15e79,bash,env,A–W,CPU/local environment; never use p1/p2 env,P3 environment — CPU gates A–G after Gate 0.,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/env.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-007,scripts/p3/evaluate_bpb.py,evaluate_bpb.py,.py,15810,sha2-256:2aeea8b48727fb6cee36f941c2781588de526e5ee586d60b3a5bf7251e2ab5ab,python,evaluator,"P0-T,U,V",Official val/test BPB (nats/(ln2*bytes)); primary DV,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/evaluate_bpb.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-008,scripts/p3/forbidden_parents.py,forbidden_parents.py,.py,565,sha2-256:568baecd8c14b3353c575f84c275bb2e0623b44613e0ef7ab1c417fc5bca54f6,python,lib,R–T,Reject P1.1/P2/wrong-parent checkpoints,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/forbidden_parents.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-009,scripts/p3/gate0_accept.py,gate0_accept.py,.py,10697,sha2-256:e4b03a201d2e5ecbca14582e098b27031d3a4fdedf043b606f067b771722dfc0,python,gate0,0,Lockbox acceptance / filing lock,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate0_accept.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-010,scripts/p3/gate_a_source_pin.py,gate_a_source_pin.py,.py,4114,sha2-256:8c11113fab5cb7d07521b3b8c0bf5104829313cc73d2707213d0b6520681de8a,python,gateA,A,Source pin verification,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_a_source_pin.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-011,scripts/p3/gate_b_raw_assets.py,gate_b_raw_assets.py,.py,4839,sha2-256:d32a6d72b1b2c05f0527102dbff20eb73bbff98004a6071bcc4434b467bd653e,python,gateB,B,Raw assets / corpus identity,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_b_raw_assets.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-012,scripts/p3/gate_c_hygiene.py,gate_c_hygiene.py,.py,4290,sha2-256:26b0dc7d1890dc261bf254dd1b652ea62aca12c019d0062aa5a0e7c43261bbe0,python,gateC,C,"Hygiene (no ClimbMix, no test in train)",,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_c_hygiene.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-013,scripts/p3/gate_d_split_freeze.py,gate_d_split_freeze.py,.py,3129,sha2-256:ae76bacc1fc695eb747a389e7776479fcf783b46dd116348f23002f880a8134c,python,gateD,D,Split freeze / manifest hashes,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_d_split_freeze.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-014,scripts/p3/gate_e_shards.py,gate_e_shards.py,.py,9917,sha2-256:654f670f609d4905b98602320d64a08d3ceb4d977e001042416c30bc002fd53b,python,gateE,E,Packed streams + B3 mix freeze,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_e_shards.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-015,scripts/p3/gate_f_tokenizer.py,gate_f_tokenizer.py,.py,7396,sha2-256:5718aee37febad9281e14f62c92059ed31a4f5b7d1eef42290c679d2539ba7fd,python,gateF,F,Tokenizer train freeze,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_f_tokenizer.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-016,scripts/p3/gate_g_budget.py,gate_g_budget.py,.py,5483,sha2-256:f4f257ad2520ae23797c1d9525de0a2c6d54c979994385890ce44b82584031a6,python,gateG,G,Budget / command freeze,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_g_budget.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-017,scripts/p3/gate_h_accept.py,gate_h_accept.py,.py,4612,sha2-256:cd30be8c25e5792d8f9f9b255477b403e5663749632d1437bd2cca242f6d3bca,python,gateH,H,CUDA smoke (nonconfirmatory d4),,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_h_accept.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-018,scripts/p3/gate_h_preflight.py,gate_h_preflight.py,.py,4435,sha2-256:2829432ac28791a8335a4fa6d557c01b93905cc443bae605c4fb3b276a50574c,python,gateH,H,CUDA smoke (nonconfirmatory d4),,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_h_preflight.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-019,scripts/p3/gate_h_smoke.sh,gate_h_smoke.sh,.sh,1691,sha2-256:344da8473513404f3430ad3fa3b3be3c2c71a529ac4306ad711e256aca43eabf,bash,gateH,H,CUDA smoke (nonconfirmatory d4),P3 Gate H: Tagalog-path d4 CUDA smoke (NOT TL0).,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_h_smoke.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-020,scripts/p3/gate_i_accept.py,gate_i_accept.py,.py,8449,sha2-256:741accf9e93599bf056cb689526d708004cb53533401d1b5faac3d37686066b0,python,gateI,I,TL0 d8+d20 parent training,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_i_accept.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-021,scripts/p3/gate_i_preflight.py,gate_i_preflight.py,.py,6481,sha2-256:1746aff124ff3f62b8d885f513a584d6f438e4159ee1f643907ecb3ddfd4768b,python,gateI,I,TL0 d8+d20 parent training,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_i_preflight.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
