Variable	Variable Name	Description
var1	code_packet_identity	Defines the identity of the P3 Code deposit for ResearchBox 8834 / AsPredicted 307342 / run p3-20260819T192700Z-92d63d4. The Code bingo cell documents confirmatory software under scripts/p3/ only (never scripts/p1/env.sh or scripts/p2/env.sh), pinned to nanochat commit 92d63d4e8bb4df75c3b71618f31ddde2378b2bcd. The companion full-file inventory is p3_code_crosswalk.csv (41 files with sha2-256 digests). Use this variable to keep P3 code provenance separate from P1.1 box 8735 and P2 box 8763.
var2	environment_bootstrap_scripts	Names the two shell entrypoints that configure the P3 tree before gates run: env.sh (CPU/local Gates A-G after Gate 0; forbids P1/P2 environments) and env.cuda.sh (named NVIDIA host for Gates H-W; prefers clean staging paths data/staging/en-clean and data/staging/b3-clean after the Gate S missing-data recovery). They set NANOCHAT_FILIPINO_ROOT and NANOCHAT_DATA_DIR, activate the uv-synced Linux venv on CUDA hosts, and keep confirmatory mounts free of ClimbMix and P1.1/P2 checkpoint write targets. Operational provenance only, not scientific outcomes.
var3	shared_library_modules	Groups library modules imported by later scripts: p3_common.py (paths, hashes, LOCK/access counters; emits no BPB outcomes), phase2_common.py (B1/B2/B3 equal-budget constants), and forbidden_parents.py (rejects P1.1/P2/d8/wrong-path parents so phase-two arms resume only from frozen B0). These encode freshness and common-parent rules in code. They appear in Code.zip under scripts_p3/ with digests in the full crosswalk.
var4	official_bpb_evaluator	Identifies evaluate_bpb.py as the sole confirmatory dependent-variable implementation. BPB equals mean token NLL divided by (ln(2) times mean UTF-8 bytes per token), with T=2048, BOS-best-fit packing, full validation (or authorized Gate V holdouts), and special-token exclusion per AsPredicted. Used by P0-T, Gate U, and Gate V. In-loop trainer meta.val_bpb is never a primary DV. Reconstruct tables from this evaluator or its sealed JSON, not Hugging Face Trainer or truncated --eval-tokens slices.
var5	lockbox_and_gate0_harness	Covers Gate 0 / lockbox acceptance: gate0_accept.py plus nonconfirmatory dummies dummy_p0t.py and dummy_b2_test.py. They verify opaque outcome containers, access counters, and break-glass templates before any real P3 BPB exists, and document the one-person-lab contract (outcome access starts at zero; raw test text stays outside training directories). Dummy scripts are engineering tests only and must not appear in confirmatory result tables.
var6	pretrain_data_freeze_gates_A_to_G	Crosswalks the CPU freeze chain before TL0: gate_a_source_pin.py (pin), gate_b_raw_assets.py (corpus SHA identity), gate_c_hygiene.py (no ClimbMix; tests absent from train mounts), gate_d_split_freeze.py (filed train/val/test hashes), gate_e_shards.py (packed streams and B3 50/50-document mix frozen before TL0 validation), gate_f_tokenizer.py (fresh P3 Tagalog 32768 BPE), gate_g_budget.py (N=294, B=65536, T=2048, warmup/LR rules). Pass/fail receipts live under Other/; these scripts produced them.
var7	cuda_smoke_gate_H	Describes Gate H CUDA smoke: gate_h_preflight.py, gate_h_smoke.sh, and gate_h_accept.py. Short Tagalog-path d4 smoke on the named A40 proves the CUDA stack. Explicitly nonconfirmatory: smoke tags must not be p3-tl0-*; d4 must not enter the primary arm table; CORE stays off. Prevents mistaking H for TL0 or for depth selection.
var8	tl0_parent_training_gate_I	Maps Gate I software that trains fresh Tagalog parent TL0 at d8 and d20 under the frozen budget: gate_i_preflight.py, gate_i_tl0.sh, gate_i_accept.py. Enforces Tagalog-only active data (p3-tl39-active), final-checkpoint selection (not mid-run val-best), zero English tokens during TL0, and terminal step/hash acceptance. Frozen d20 becomes B0; d8 exists for P0-T dual-depth eligibility only.
var9	parent_eligibility_gate_P0T	Documents P0-T scripts gate_p0t_preflight.py, gate_p0t.sh, and gate_p0t_accept.py. They require TL0 at both d8 and d20 to beat an untrained same-depth model and a train-fitted add-1 UTF-8 byte unigram by at least 0.01 BPB on Tagalog validation under the P3 tokenizer, before any English child token. During blinding operators see PASS/BLOCKED only. BLOCKED would forbid B1/B2/B3; this run followed PASS.
var10	b0_freeze_and_phase2_orchestrators	Covers Gate Q and phase-two orchestration: gate_q_b0_freeze.py (freeze TL0 d20 as B0 with parent whitelist), gate_q_to_w.sh (blinded Q-to-W driver), gate_resume_s_to_w.sh (resume after Gate S recovery without partial optimizer state), gate_phase2_accept.py (shared B1/B2/B3 checks: parent SHA, step 294, fresh optimizer, finite health). Encodes equal-exposure continuation and the official Gate S disposition (quarantined partial attempt; clean B0 restart).
var11	phase2_continuation_trainers_B1_B2_B3	Identifies arm launchers and shared trainer: gate_r_b1.sh (extra Tagalog B1), gate_s_b2.sh (English B2 on WT103-raw/en-clean), gate_t_b3.sh (pre-frozen 50/50-document mix B3, not mitigation), continue_from_frozen.py (B0 weights, load_optimizer=False, fresh Muon+AdamW, peak LR 0.3x TL0, warmup 14, exactly 294 steps / D_phase2=19267584). Code embodiment of the filed comparison: stream identity differs; budget, parent, tokenizer, and optimizer-freshness do not.
var12	validation_seal_gate_U	Groups Gate U sealing: gate_u_seal.py and make_validation_seal.py. They evaluate six child cells B1/B2/B3 x {Tagalog, English} plus descriptive B0 English val_bpb_full, write the sealed bundle, and require test_access=0 at seal. B0 English is excluded from C_tl, G_en, and B3 contrasts. Must not read legacy tests; that is Gate V after the seal timestamp.
var13	secondary_test_gate_V	Describes gate_v_test.py, the only confirmatory test-touch program: one authorized event, B2 d20 only, exactly two legacy holdouts (English WT103-raw test manifest; Tagalog P1.1 test.jsonl), secondary to validation contrasts, forbidden for B1/B3, leaves sealed C_tl/G_en unchanged. Increments test_access 0 to 1. Must never republish P1.1 1.164768 or P2 Gate V numbers as P3 results.
var14	closeout_gate_W	Identifies gate_w_closeout.py, which writes the closeout manifest of artifact roles, sizes, and hashes after U/V without new training, validation, or test science. May prepare ResearchBox/GitHub packaging lists but cannot invent metrics or reopen arms. Treat W receipts as stewardship metadata, not a second analysis.
