Variable,Variable Name,Description
var1,code_id,"Stable row identifier for each file in the P3 Code inventory (values like P3-CODE-001 through P3-CODE-041). Use this ID when citing a specific script in audits, ResearchBox notes, or deviation cards so that filename renames do not break cross-references. It is an inventory key only; it is not a participant ID, Prolific ID, or outcome scalar."
var2,relative_path,"Repository-relative path of the file from the nanochat-filipino project root, always under scripts/p3/ for this packet (example: scripts/p3/evaluate_bpb.py). This locates the source in git and in local checkouts. Do not interpret this path as a Hub weight path or as a data corpus path."
var3,filename,"Basename only (example: evaluate_bpb.py, gate_s_b2.sh). Useful for bingo tables and zip member matching when directory prefixes are stripped. Pair with relative_path when two packages might share a basename."
var4,extension,"File extension including the leading dot (.py, .sh, etc.), or (none) if absent. Distinguishes Python gate/evaluator logic from bash launchers and other text artifacts in Code.zip."
var5,bytes,Exact on-disk byte length of the file at inventory time (integer). Together with sha2_256 this supports bit-level integrity checks after download or re-zip. A changed byte size without a documented commit is a provenance warning.
var6,sha2_256,"SHA-256 digest of the file bytes, written with a sha2-256: prefix to discourage ResearchBox/Prolific-ID false positives. These are FILE digests for code provenance, not human subject identifiers. P3 has no participants. Recompute with shasum -a 256 on the extracted member to verify Code.zip integrity."
var7,language,"Coarse language/label for tooling (python, bash, markdown, json, text, other). Helps readers know which runtime is required; it is not a programming-language benchmark result."
var8,role_family,"Functional family tag used to group scripts (examples: env, lib, evaluator, train, gateA..gateX, orchestrator, seal, release, incident, test). Maps code to the stage of the confirmatory pipeline without opening BPB outcomes. Dummy/test family scripts are nonconfirmatory harnesses only."
var9,gates_crosswalk,"Which P3 gate(s) or span the file serves (examples: A, P0-T, R,S,T, Q-W, 0-X, any). This is the primary scientific crosswalk from code artifact to filed execution stage in AsPredicted 307342. A file may support multiple gates; spans use en-dash or comma lists as recorded in the inventory."
var10,purpose,"Short human-readable statement of what the script is for in the confirmatory design (for example: official val/test BPB evaluator; B2 English continuation; Gate X preflight). Purpose text is operational description, not a numerical result."
var11,header_or_docstring,"First-line module docstring or leading comment captured at inventory time, when present. Provides author-facing intent from the source itself. Empty if the file has no leading docstring/comment."
var12,bingo_column,"ResearchBox bingo column where this artifact belongs. For every row in this code inventory the value is Code. Do not upload these .py/.sh sources into Data; Data is reserved for table CSVs. JSON gate receipts belong in Other, not Code."
var13,researchbox_id,Deposit box number for this study packet: 8834 (https://researchbox.org/8834). Constant across rows; included so a detached CSV row remains attributable if separated from Materials.
var14,aspredicted_id,Preregistration number: 307342 (https://aspredicted.org/wd2pc8.pdf). Constant across rows; ties the code packet to the filed confirmatory protocol and authority hierarchy.
var15,p3_run_id,Execution run identifier p3-20260819T192700Z-92d63d4 for the completed confirmatory trajectory. Constant across rows; links code inventory to gate receipts and the Gate X released/ bundle without embedding BPB values in this codebook.
var16,zip_member_path,Path of the file inside Code.zip as packaged for upload (typically scripts_p3/<filename>). Use this when verifying unzipped members against sha2_256 after ResearchBox download.
var17,upload_note,"Operator note describing how the row relates to the ResearchBox upload layout (row crosswalks Code.zip member to gate to purpose to file digest). Reinforces that this inventory is documentation of code provenance for box 8834, not a place for raw test.jsonl, .pt weights, passcodes, or HOST SSH cards."
